title,genres,director,overview,text_stopword,text_clean
Self/less,"['Science Fiction', 'Mystery', 'Thriller']",Tarsem Singh,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,"['extremely', 'wealthy', 'elderly', 'man', 'die', 'cancer', 'undergo', 'radical', 'medical', 'procedure', 'transfer', 'consciousness', 'body', 'healthy', 'young', 'man', 'everything', 'may', 'good', 'seem', 'start', 'uncover', 'mystery', 'body', 'origin', 'secret', 'organization', 'kill', 'keep', 'secret']",extremely wealthy elderly man die cancer undergo radical medical procedure transfer consciousness body healthy young man everything may good seem start uncover mystery body origin secret organization kill keep secret
The Constant Gardener,"['Drama', 'Mystery', 'Thriller']",Fernando Meirelles,"Justin Quayle is a low-level British diplomat who has always gone about his work very quietly, not causing any problems. But after his radical wife Tessa is killed he becomes determined to find out why, thrusting himself into the middle of a very dangerous conspiracy.","['justin', 'quayle', 'lowlevel', 'british', 'diplomat', 'always', 'go', 'work', 'quietly', 'cause', 'problem', 'radical', 'wife', 'tessa', 'kill', 'becomes', 'determine', 'find', 'thrust', 'middle', 'dangerous', 'conspiracy']",justin quayle lowlevel british diplomat always work quietly cause problem radical wife tessa kill becomes determine find thrust middle dangerous conspiracy
The Passion of the Christ,['Drama'],Mel Gibson,"""The Passion of the Christ"" is a film about the last 12 hours in the life of Jesus. Director Mel Gibson received much criticism from critics and audiences for his explicit depiction of and focus on violence and on christs suffering, especially on the part of the jewish community. The films languages are Arabic, Latin and Hebrew and its actors are laymen which was controversially received as well.","['passion', 'christ', 'film', 'last', '12', 'hour', 'life', 'jesus', 'director', 'mel', 'gibson', 'receive', 'much', 'criticism', 'critic', 'audience', 'explicit', 'depiction', 'focus', 'violence', 'christ', 'suffer', 'especially', 'part', 'jewish', 'community', 'film', 'language', 'arabic', 'latin', 'hebrew', 'actor', 'layman', 'controversially', 'receive', 'well']",passion christ film last hour life jesus director mel gibson receive much criticism critic audience explicit depiction focus violence christ suffer especially part jewish community film language arabic latin hebrew actor layman controversially receive well
Mrs. Doubtfire,"['Comedy', 'Drama', 'Family']",Chris Columbus,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as an English nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.","['love', 'irresponsible', 'dad', 'daniel', 'hillard', 'estrange', 'exasperate', 'spouse', 'crush', 'court', 'order', 'allow', 'weekly', 'visit', 'kid', 'daniel', 'learn', 'ex', 'need', 'housekeeper', 'get', 'job', 'disguise', 'english', 'nanny', 'soon', 'become', 'childrens', 'best', 'pal', 'kind', 'parent', 'start']",love irresponsible dad daniel hillard estrange exasperate spouse crush court order allow weekly visit kid daniel learn need housekeeper get job disguise english nanny soon become childrens best pal kind parent start
Rain Man,['Drama'],Barry Levinson,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,"['selfish', 'yuppie', 'charlie', 'babbitt', 'father', 'leave', 'fortune', 'savant', 'brother', 'raymond', 'pittance', 'charlie', 'travel', 'crosscountry']",selfish yuppie charlie babbitt father leave fortune savant brother raymond pittance charlie travel crosscountry
Gran Torino,['Drama'],Clint Eastwood,"Walt Kowalski is a widower who holds onto his prejudices despite the changes in his Michigan neighborhood and the world around him. Kowalski is a grumpy, tough-minded, unhappy old man who can't get along with either his kids or his neighbors. He is a Korean War veteran whose prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbor Thao, a young Hmong teenager under pressure from his gang member cousin, tries to steal his Gran Torino, Kowalski sets out to reform the youth. Drawn against his will into the life of Thao's family, Kowalski is soon taking steps to protect them from the gangs that infest their neighborhood.","['walt', 'kowalski', 'widower', 'hold', 'onto', 'prejudice', 'despite', 'change', 'michigan', 'neighborhood', 'world', 'around', 'kowalski', 'grumpy', 'toughminded', 'unhappy', 'old', 'man', 'cant', 'get', 'along', 'either', 'kid', 'neighbor', 'korean', 'war', 'veteran', 'whose', 'prize', 'possession', '1972', 'gran', 'torino', 'keep', 'mint', 'condition', 'neighbor', 'thao', 'young', 'hmong', 'teenager', 'pressure', 'gang', 'member', 'cousin', 'try', 'steal', 'gran', 'torino', 'kowalski', 'set', 'reform', 'youth', 'drawn', 'life', 'thaos', 'family', 'kowalski', 'soon', 'take', 'step', 'protect', 'gang', 'infest', 'neighborhood']",walt kowalski widower hold onto prejudice despite change michigan neighborhood world around kowalski grumpy toughminded unhappy old man cant get along either kid neighbor korean war veteran whose prize possession 1972 gran torino keep mint condition neighbor thao young hmong teenager pressure gang member cousin try steal gran torino kowalski set reform youth drawn life thaos family kowalski soon take step protect gang infest neighborhood
W.,"['Drama', 'History']",Oliver Stone,"Whether you love him or hate him, there is no question that George W. Bush is one of the most controversial public figures in recent memory. W takes viewers through Bush’s eventful life -- his struggles and triumphs, how he found both his wife and his faith, and of course the critical days leading up to Bush’s decision to invade Iraq.","['whether', 'love', 'hate', 'question', 'george', 'w', 'bush', 'one', 'controversial', 'public', 'figure', 'recent', 'memory', 'w', 'take', 'viewer', 'bush', 'eventful', 'life', 'struggle', 'triumph', 'find', 'wife', 'faith', 'course', 'critical', 'day', 'lead', 'bush', 'decision', 'invade', 'iraq']",whether love hate question george bush one controversial public figure recent memory take viewer bush eventful life struggle triumph find wife faith course critical day lead bush decision invade iraq
Taken,"['Action', 'Thriller']",Pierre Morel,"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.","['vacation', 'friend', 'paris', 'american', 'girl', 'kidnap', 'gang', 'human', 'trafficker', 'intent', 'sell', 'force', 'prostitution', 'work', 'clock', 'exspy', 'father', 'must', 'pull', 'stop', 'save', 'best', 'year', 'possibly', 'behind', 'job', 'may', 'handle']",vacation friend paris american girl kidnap gang human trafficker intent sell force prostitution work clock exspy father must pull stop save best year possibly behind job may handle
The Best of Me,"['Drama', 'Romance']",Michael Hoffman,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,"['pair', 'former', 'high', 'school', 'sweetheart', 'reunite', 'many', 'year', 'return', 'visit', 'small', 'hometown']",pair former high school sweetheart reunite many year return visit small hometown
The Bodyguard,"['Thriller', 'Action', 'Drama']",Mick Jackson,"A former Secret Service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. At first, the safety-obsessed bodyguard and the self-indulgent diva totally clash. But before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance.","['former', 'secret', 'service', 'agent', 'grudgingly', 'take', 'assignment', 'protect', 'pop', 'idol', 'threaten', 'crazed', 'fan', 'first', 'safetyobsessed', 'bodyguard', 'selfindulgent', 'diva', 'totally', 'clash', 'long', 'tension', 'spark', 'firework', 'another', 'sort', 'loveaverse', 'tough', 'guy', 'tear', 'duty', 'romance']",former secret service agent grudgingly take assignment protect pop idol threaten crazed fan first safetyobsessed bodyguard selfindulgent diva totally clash long tension spark firework another sort loveaverse tough guy tear duty romance
Schindler's List,"['Drama', 'History', 'War']",Steven Spielberg,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"['true', 'story', 'businessman', 'oskar', 'schindler', 'save', 'thousand', 'jewish', 'life', 'nazi', 'work', 'slave', 'factory', 'world', 'war', 'ii']",true story businessman oskar schindler save thousand jewish life nazi work slave factory world war
The Help,['Drama'],Tate Taylor,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.","['aibileen', 'clark', 'middleaged', 'africanamerican', 'maid', 'spend', 'life', 'raise', 'white', 'child', 'recently', 'lose', 'son', 'minny', 'jackson', 'africanamerican', 'maid', 'often', 'offend', 'employer', 'despite', 'familys', 'struggle', 'money', 'desperate', 'need', 'job', 'eugenia', 'skeeter', 'phelan', 'young', 'white', 'woman', 'recently', 'move', 'back', 'home', 'graduate', 'college', 'find', 'childhood', 'maid', 'mysteriously', 'disappear', 'three', 'story', 'intertwine', 'explain', 'life', 'jackson', 'mississippi', 'revolve', 'around', 'help', 'yet', 'always', 'keep', 'certain', 'distance', 'racial', 'line']",aibileen clark middleaged africanamerican maid spend life raise white child recently lose son minny jackson africanamerican maid often offend employer despite familys struggle money desperate need job eugenia skeeter phelan young white woman recently move back home graduate college find childhood maid mysteriously disappear three story intertwine explain life jackson mississippi revolve around help yet always keep certain distance racial line
The Fifth Estate,"['Drama', 'Thriller']",Bill Condon,"A look at the relationship between WikiLeaks founder Julian Assange and his early supporter and eventual colleague Daniel Domscheit-Berg, and how the website's growth and influence led to an irreparable rift between the two friends.","['look', 'relationship', 'wikileaks', 'founder', 'julian', 'assange', 'early', 'supporter', 'eventual', 'colleague', 'daniel', 'domscheitberg', 'website', 'growth', 'influence', 'lead', 'irreparable', 'rift', 'two', 'friend']",look relationship wikileaks founder julian assange early supporter eventual colleague daniel domscheitberg website growth influence lead irreparable rift two friend
